,open,high,low,close
2025-04-18,0.63847,0.6394,0.63665,0.6376
2025-04-21,0.63762,0.64377,0.63689,0.64102
2025-04-22,0.64112,0.64392,0.63608,0.63685
2025-04-23,0.63677,0.64352,0.63486,0.63602
2025-04-24,0.63607,0.64132,0.6343,0.64048
2025-04-25,0.64047,0.64208,0.6374,0.6393
2025-04-28,0.6401,0.6435,0.63674,0.6428
2025-04-29,0.64275,0.64496,0.63755,0.63842
2025-04-30,0.63846,0.64178,0.63554,0.63999
2025-05-01,0.64007,0.64272,0.6365,0.63812
2025-05-02,0.63824,0.64698,0.63802,0.64405
2025-05-05,0.64425,0.64937,0.64338,0.64611
2025-05-06,0.64616,0.65014,0.64374,0.64888
2025-05-07,0.64887,0.65147,0.64205,0.64259
2025-05-08,0.64262,0.64645,0.63946,0.63987
2025-05-09,0.63988,0.64324,0.63703,0.6411
2025-05-12,0.64217,0.64611,0.63561,0.63688
2025-05-13,0.6369,0.64786,0.63608,0.6467
2025-05-14,0.64666,0.6501,0.64198,0.64278
2025-05-15,0.64282,0.64575,0.639,0.64035
2025-05-16,0.64026,0.6436,0.63874,0.64
2025-05-19,0.64039,0.6465,0.63977,0.64567
2025-05-20,0.64563,0.6459,0.63912,0.64199
2025-05-21,0.642,0.64693,0.64175,0.64337
2025-05-22,0.64326,0.64587,0.64067,0.64088
2025-05-23,0.64097,0.64994,0.64079,0.6494
2025-05-26,0.64896,0.65373,0.6482,0.64864
2025-05-27,0.64866,0.64954,0.64343,0.64435
2025-05-28,0.64436,0.64534,0.64095,0.6422
2025-05-29,0.64229,0.64601,0.64067,0.6442
2025-05-30,0.64406,0.64524,0.64071,0.6431
2025-06-02,0.64322,0.65004,0.64315,0.64882
2025-06-03,0.64882,0.65,0.64465,0.64631
2025-06-04,0.64623,0.6505,0.64501,0.64875
2025-06-05,0.64883,0.6538,0.64855,0.65013
2025-06-06,0.6509,0.6516,0.6477,0.6491
2025-06-09,0.6484,0.6533,0.6484,0.6515
2025-06-10,0.6515,0.6533,0.6488,0.6519
2025-06-11,0.652,0.6545,0.6494,0.6498
2025-06-12,0.6505,0.6533,0.6475,0.6531
2025-06-13,0.6531,0.6533,0.6454,0.6486
2025-06-16,0.648,0.6551,0.6465,0.6521
2025-06-17,0.6522,0.6543,0.6464,0.6474
2025-06-18,0.6473,0.6537,0.6466,0.6507
2025-06-19,0.6507,0.6511,0.6444,0.6481
2025-06-20,0.648,0.6495,0.6446,0.645
2025-06-23,0.6437,0.6463,0.637,0.6459
2025-06-24,0.6459,0.6519,0.6454,0.6486
2025-06-25,0.6486,0.6515,0.6482,0.6512
2025-06-26,0.6504,0.6563,0.6502,0.6544
2025-06-27,0.6544,0.6561,0.6507,0.653
2025-06-30,0.6526,0.6582,0.652,0.658
2025-07-01,0.6575,0.659,0.6552,0.658
2025-07-02,0.6581,0.6588,0.6542,0.6583
2025-07-03,0.6583,0.6587,0.6535,0.6569
2025-07-04,0.6571,0.6579,0.6544,0.655
2025-07-07,0.6546,0.6559,0.6484,0.6488
2025-07-08,0.6491,0.6557,0.6488,0.653
2025-07-09,0.6526,0.6548,0.6508,0.6535
2025-07-10,0.6534,0.6591,0.6525,0.6587
2025-07-11,0.6586,0.6595,0.6554,0.6578
2025-07-14,0.6573,0.6587,0.6541,0.6543
2025-07-15,0.6548,0.6575,0.6506,0.6512
2025-07-16,0.6511,0.6554,0.6493,0.6526
2025-07-17,0.6529,0.6532,0.6453,0.6487
2025-07-18,0.648,0.654,0.648,0.6508
2025-07-21,0.6519,0.6537,0.6496,0.6523
2025-07-22,0.6526,0.6557,0.6502,0.6554
2025-07-23,0.6551,0.6603,0.6544,0.6601
2025-07-24,0.6597,0.6624,0.6584,0.6589
2025-07-25,0.6591,0.6598,0.655,0.6565
2025-07-28,0.6562,0.6585,0.6511,0.6519
2025-07-29,0.6516,0.6529,0.6494,0.6509
2025-07-30,0.6511,0.6528,0.6424,0.6432
2025-07-31,0.6433,0.6476,0.6422,0.6426
2025-08-01,0.6424,0.6493,0.6417,0.6475
2025-08-04,0.6475,0.6489,0.6458,0.6467
2025-08-05,0.6465,0.6479,0.6448,0.647
2025-08-06,0.6464,0.6508,0.6458,0.6501
2025-08-07,0.6503,0.6541,0.6488,0.6523
2025-08-08,0.6511,0.6534,0.6509,0.6524
2025-08-11,0.6519,0.6528,0.6499,0.6512
2025-08-12,0.6512,0.654,0.6479,0.6526
2025-08-13,0.6525,0.6562,0.6514,0.6543
2025-08-14,0.6545,0.6568,0.6481,0.6492
2025-08-15,0.6488,0.6522,0.6485,0.6504
2025-08-18,0.6502,0.6524,0.6479,0.6491
2025-08-19,0.6493,0.6497,0.6448,0.6453
2025-08-20,0.6451,0.6457,0.6422,0.6433
2025-08-21,0.6428,0.6436,0.6412,0.6419
2025-08-22,0.6424,0.6501,0.6412,0.6488
2025-08-25,0.6493,0.6504,0.6469,0.648
2025-08-26,0.6477,0.65,0.6468,0.6492
2025-08-27,0.6494,0.6512,0.646,0.6504
2025-08-28,0.6503,0.6537,0.65,0.653
2025-08-29,0.6529,0.6548,0.6521,0.6539
2025-09-01,0.653,0.656,0.653,0.6551
2025-09-02,0.6553,0.6558,0.6481,0.6519
2025-09-03,0.6518,0.6554,0.65,0.6544
2025-09-04,0.654,0.6549,0.6499,0.6515
