,open,high,low,close
2025-04-18,1.1367,1.1398,1.13576,1.13913
2025-04-21,1.14072,1.15733,1.139,1.15085
2025-04-22,1.15085,1.15473,1.13613,1.13623
2025-04-23,1.13651,1.144,1.13072,1.13236
2025-04-24,1.13223,1.1398,1.13194,1.13857
2025-04-25,1.13849,1.13912,1.13155,1.1364
2025-04-28,1.13601,1.1425,1.1329,1.14198
2025-04-29,1.14202,1.1422,1.13698,1.13846
2025-04-30,1.13861,1.13994,1.13168,1.13253
2025-05-01,1.13253,1.13411,1.12655,1.12857
2025-05-02,1.12865,1.1381,1.12739,1.12952
2025-05-05,1.1299,1.13648,1.12968,1.13143
2025-05-06,1.13157,1.13811,1.12796,1.13715
2025-05-07,1.13721,1.13782,1.12914,1.13106
2025-05-08,1.1312,1.13362,1.12116,1.12261
2025-05-09,1.12268,1.12929,1.11964,1.1246
2025-05-12,1.12136,1.12428,1.10651,1.1088
2025-05-13,1.10878,1.11947,1.10868,1.11856
2025-05-14,1.11855,1.12658,1.11643,1.11749
2025-05-15,1.11763,1.1228,1.117,1.11872
2025-05-16,1.11883,1.12196,1.11307,1.1164
2025-05-19,1.11737,1.12881,1.11711,1.12431
2025-05-20,1.12433,1.12858,1.12177,1.12822
2025-05-21,1.12823,1.13628,1.12787,1.13281
2025-05-22,1.13282,1.1345,1.12555,1.12791
2025-05-23,1.12803,1.13757,1.12785,1.13606
2025-05-26,1.13667,1.14187,1.13617,1.13848
2025-05-27,1.13855,1.14071,1.1323,1.13304
2025-05-28,1.13309,1.13456,1.12834,1.12925
2025-05-29,1.1294,1.13845,1.12098,1.1369
2025-05-30,1.13672,1.139,1.13121,1.1345
2025-06-02,1.13494,1.14498,1.13454,1.14377
2025-06-03,1.14398,1.14546,1.13638,1.1375
2025-06-04,1.13749,1.14344,1.13567,1.14157
2025-06-05,1.14157,1.1495,1.14043,1.14416
2025-06-06,1.1443,1.1457,1.1369,1.1394
2025-06-09,1.1391,1.1439,1.1385,1.142
2025-06-10,1.1422,1.1447,1.1372,1.1423
2025-06-11,1.1426,1.1499,1.1404,1.1487
2025-06-12,1.1491,1.1631,1.1484,1.1583
2025-06-13,1.1581,1.1614,1.1488,1.1552
2025-06-16,1.1535,1.1614,1.1522,1.1561
2025-06-17,1.1566,1.1577,1.1474,1.1479
2025-06-18,1.1479,1.153,1.146,1.1479
2025-06-19,1.1483,1.1499,1.1445,1.1494
2025-06-20,1.1494,1.1543,1.1489,1.1522
2025-06-23,1.1479,1.1581,1.1451,1.1576
2025-06-24,1.1576,1.1641,1.1573,1.1608
2025-06-25,1.1608,1.1665,1.1589,1.1659
2025-06-26,1.1658,1.1744,1.1653,1.1699
2025-06-27,1.1695,1.1754,1.1679,1.1719
2025-06-30,1.1711,1.1788,1.1702,1.1786
2025-07-01,1.1786,1.1829,1.1759,1.1805
2025-07-02,1.1802,1.1809,1.1746,1.1798
2025-07-03,1.1798,1.1809,1.1717,1.1756
2025-07-04,1.1756,1.1787,1.1752,1.1778
2025-07-07,1.177,1.179,1.1686,1.1707
2025-07-08,1.1709,1.1765,1.1682,1.1724
2025-07-09,1.1724,1.1729,1.1689,1.1719
2025-07-10,1.172,1.1749,1.1661,1.17
2025-07-11,1.17,1.1713,1.1663,1.1689
2025-07-14,1.1673,1.1697,1.1649,1.1663
2025-07-15,1.1666,1.1692,1.159,1.1599
2025-07-16,1.1599,1.1721,1.1561,1.1634
2025-07-17,1.164,1.1642,1.1555,1.1595
2025-07-18,1.1595,1.1671,1.1589,1.1625
2025-07-21,1.1618,1.1716,1.1614,1.1695
2025-07-22,1.1695,1.176,1.1677,1.1753
2025-07-23,1.1752,1.1775,1.1709,1.177
2025-07-24,1.177,1.1788,1.1729,1.1754
2025-07-25,1.1747,1.1761,1.1702,1.174
2025-07-28,1.1746,1.1772,1.1584,1.1588
2025-07-29,1.1588,1.1599,1.1515,1.1545
2025-07-30,1.1545,1.1572,1.1399,1.1404
2025-07-31,1.1404,1.146,1.1402,1.1415
2025-08-01,1.1414,1.1597,1.1389,1.1584
2025-08-04,1.1577,1.1596,1.1547,1.157
2025-08-05,1.157,1.1587,1.1525,1.1574
2025-08-06,1.1571,1.1668,1.1563,1.1659
2025-08-07,1.1659,1.1698,1.1609,1.1665
2025-08-08,1.1665,1.1679,1.1628,1.1639
2025-08-11,1.1637,1.1675,1.1589,1.1614
2025-08-12,1.1614,1.1697,1.1597,1.1673
2025-08-13,1.1674,1.173,1.1667,1.1704
2025-08-14,1.1705,1.1715,1.163,1.1646
2025-08-15,1.1647,1.1715,1.1644,1.1697
2025-08-18,1.1691,1.1716,1.1655,1.166
2025-08-19,1.1659,1.1692,1.1637,1.1646
2025-08-20,1.1649,1.1673,1.1621,1.1651
2025-08-21,1.1652,1.1662,1.1598,1.1605
2025-08-22,1.1605,1.1742,1.1581,1.1715
2025-08-25,1.1715,1.1727,1.1601,1.1618
2025-08-26,1.1618,1.1665,1.1599,1.1642
2025-08-27,1.1642,1.1647,1.1573,1.1637
2025-08-28,1.1637,1.1697,1.1627,1.1682
2025-08-29,1.1682,1.1708,1.1649,1.1684
2025-09-01,1.1684,1.1736,1.1683,1.1709
2025-09-02,1.1709,1.1718,1.161,1.1638
2025-09-03,1.1642,1.1682,1.1606,1.1661
2025-09-04,1.1659,1.1669,1.1628,1.1649
