,open,high,low,close
2025-04-18,1.32631,1.32985,1.32536,1.3294
2025-04-21,1.32841,1.34218,1.32765,1.33762
2025-04-22,1.33758,1.34236,1.3288,1.32899
2025-04-23,1.32911,1.3339,1.32324,1.32606
2025-04-24,1.32539,1.3349,1.32505,1.33341
2025-04-25,1.33316,1.33396,1.32735,1.3314
2025-04-28,1.33045,1.34442,1.32797,1.34344
2025-04-29,1.34343,1.34436,1.338,1.34043
2025-04-30,1.34049,1.34145,1.33087,1.33235
2025-05-01,1.33238,1.33453,1.32601,1.3271
2025-05-02,1.32713,1.33306,1.32604,1.32641
2025-05-05,1.32648,1.33364,1.32593,1.32885
2025-05-06,1.32893,1.34025,1.32599,1.33712
2025-05-07,1.33733,1.33772,1.32797,1.3293
2025-05-08,1.32939,1.33562,1.32361,1.32471
2025-05-09,1.32483,1.33225,1.32117,1.32976
2025-05-12,1.32695,1.32991,1.31394,1.31697
2025-05-13,1.31692,1.33159,1.31665,1.33047
2025-05-14,1.33046,1.33602,1.3253,1.32578
2025-05-15,1.32578,1.33194,1.3257,1.32998
2025-05-16,1.32998,1.33325,1.325,1.32773
2025-05-19,1.32752,1.34036,1.3273,1.33614
2025-05-20,1.33599,1.33946,1.33345,1.33849
2025-05-21,1.33847,1.34687,1.33835,1.34158
2025-05-22,1.34157,1.34408,1.33905,1.34176
2025-05-23,1.34188,1.35422,1.3417,1.35344
2025-05-26,1.3526,1.35932,1.35223,1.35615
2025-05-27,1.35617,1.35867,1.34998,1.35095
2025-05-28,1.35094,1.3522,1.34496,1.3466
2025-05-29,1.3467,1.35072,1.34148,1.34902
2025-05-30,1.34876,1.35106,1.34476,1.34513
2025-06-02,1.34537,1.35595,1.345,1.35391
2025-06-03,1.35421,1.35591,1.34914,1.35144
2025-06-04,1.35128,1.35799,1.35008,1.35456
2025-06-05,1.35475,1.36162,1.35402,1.35748
2025-06-06,1.3576,1.3584,1.3504,1.3521
2025-06-09,1.3522,1.3581,1.3516,1.3547
2025-06-10,1.3555,1.3564,1.3453,1.3494
2025-06-11,1.3494,1.3567,1.3461,1.3544
2025-06-12,1.3552,1.3623,1.3519,1.3609
2025-06-13,1.3609,1.3632,1.3513,1.3564
2025-06-16,1.3554,1.3622,1.3527,1.3574
2025-06-17,1.3576,1.3584,1.3412,1.3424
2025-06-18,1.343,1.3476,1.3397,1.3418
2025-06-19,1.3426,1.347,1.338,1.3466
2025-06-20,1.3455,1.3511,1.3438,1.3449
2025-06-23,1.3414,1.3531,1.3367,1.3522
2025-06-24,1.3507,1.3648,1.3505,1.3614
2025-06-25,1.3614,1.3671,1.3588,1.3663
2025-06-26,1.3662,1.377,1.365,1.3727
2025-06-27,1.3731,1.3752,1.3679,1.3714
2025-06-30,1.3686,1.374,1.3671,1.3733
2025-07-01,1.3733,1.3788,1.3701,1.3745
2025-07-02,1.3742,1.3752,1.356,1.3636
2025-07-03,1.3636,1.3675,1.3583,1.3652
2025-07-04,1.3656,1.3681,1.3631,1.3652
2025-07-07,1.3625,1.3657,1.3572,1.3599
2025-07-08,1.3599,1.3646,1.3523,1.3585
2025-07-09,1.3585,1.3619,1.3561,1.3586
2025-07-10,1.3586,1.3619,1.353,1.3573
2025-07-11,1.3567,1.3585,1.3479,1.3499
2025-07-14,1.3485,1.3504,1.3421,1.3427
2025-07-15,1.3427,1.3467,1.3376,1.3379
2025-07-16,1.3379,1.3485,1.3361,1.3421
2025-07-17,1.3419,1.3429,1.3371,1.3415
2025-07-18,1.3408,1.3475,1.3402,1.3404
2025-07-21,1.3393,1.351,1.3391,1.3488
2025-07-22,1.3487,1.3534,1.3459,1.3528
2025-07-23,1.3528,1.3583,1.3512,1.358
2025-07-24,1.3575,1.3588,1.3499,1.3509
2025-07-25,1.3509,1.3517,1.3413,1.3434
2025-07-28,1.343,1.3452,1.3348,1.3355
2025-07-29,1.336,1.3363,1.3304,1.3348
2025-07-30,1.3341,1.3385,1.3224,1.3235
2025-07-31,1.3233,1.3282,1.3182,1.3205
2025-08-01,1.3205,1.331,1.3138,1.3278
2025-08-04,1.3271,1.333,1.325,1.3283
2025-08-05,1.329,1.3316,1.3256,1.3299
2025-08-06,1.3299,1.3368,1.3278,1.3355
2025-08-07,1.3353,1.3448,1.3342,1.3441
2025-08-08,1.3439,1.3458,1.3415,1.3449
2025-08-11,1.3422,1.3476,1.3396,1.3428
2025-08-12,1.3427,1.3523,1.3417,1.3495
2025-08-13,1.3498,1.3584,1.3489,1.3575
2025-08-14,1.3571,1.3594,1.3517,1.3531
2025-08-15,1.3531,1.3575,1.352,1.3551
2025-08-18,1.3543,1.3565,1.3499,1.3502
2025-08-19,1.35,1.3531,1.3474,1.349
2025-08-20,1.3484,1.3509,1.3444,1.3457
2025-08-21,1.3461,1.3482,1.3403,1.3411
2025-08-22,1.3408,1.3544,1.3387,1.3522
2025-08-25,1.3517,1.3527,1.3442,1.3454
2025-08-26,1.3454,1.3493,1.3431,1.348
2025-08-27,1.3481,1.3501,1.3414,1.3497
2025-08-28,1.3495,1.353,1.348,1.3512
2025-08-29,1.3508,1.3517,1.3443,1.3503
2025-09-01,1.3503,1.3549,1.3492,1.3543
2025-09-02,1.3538,1.3549,1.3337,1.3391
2025-09-03,1.3387,1.3458,1.333,1.3444
2025-09-04,1.3435,1.3459,1.3413,1.3433
