,open,high,low,close
2025-04-18,142.437,142.47,142.098,142.15
2025-04-21,141.904,142.129,140.467,140.808
2025-04-22,140.8,142.558,139.882,142.551
2025-04-23,142.543,143.574,141.524,143.124
2025-04-24,143.15,143.338,142.274,142.676
2025-04-25,142.682,144.03,142.632,143.623
2025-04-28,143.605,143.894,141.954,142.065
2025-04-29,142.069,142.757,141.968,142.264
2025-04-30,142.268,143.19,142.154,142.95
2025-05-01,142.951,145.741,142.875,145.281
2025-05-02,145.283,145.924,143.725,144.918
2025-05-05,144.862,144.989,143.535,143.7
2025-05-06,143.695,144.275,142.347,142.416
2025-05-07,142.42,143.999,142.389,143.763
2025-05-08,143.762,146.177,143.44,145.91
2025-05-09,145.917,146.187,144.82,145.323
2025-05-12,146.141,148.651,145.694,148.35
2025-05-13,148.32,148.456,147.369,147.453
2025-05-14,147.472,147.67,145.601,146.63
2025-05-15,146.624,146.752,145.409,145.592
2025-05-16,145.567,146.103,144.916,145.581
2025-05-19,145.423,145.451,144.656,144.854
2025-05-20,144.854,145.514,144.088,144.474
2025-05-21,144.472,144.49,143.278,143.648
2025-05-22,143.636,144.398,142.798,144.029
2025-05-23,144.068,144.07,142.418,142.55
2025-05-26,142.476,143.08,142.222,142.74
2025-05-27,142.74,144.46,142.11,144.263
2025-05-28,144.263,145.077,143.847,144.791
2025-05-29,144.813,146.287,143.956,144.12
2025-05-30,144.125,144.443,143.43,144.021
2025-06-02,143.805,143.986,142.535,142.671
2025-06-03,142.662,144.109,142.372,143.941
2025-06-04,143.943,144.395,142.6,142.734
2025-06-05,142.734,143.977,142.52,143.5
2025-06-06,143.47,145.08,143.3,144.85
2025-06-09,144.8,144.94,143.96,144.58
2025-06-10,144.54,145.29,144.38,144.83
2025-06-11,144.83,145.46,144.31,144.54
2025-06-12,144.53,144.56,143.16,143.47
2025-06-13,143.46,144.48,142.78,144.09
2025-06-16,143.88,144.87,143.63,144.72
2025-06-17,144.72,145.37,144.38,145.25
2025-06-18,145.18,145.44,144.32,145.1
2025-06-19,145.12,145.76,144.73,145.45
2025-06-20,145.45,146.21,145.1,146.07
2025-06-23,145.92,148.02,145.88,146.14
2025-06-24,146.14,146.18,144.49,144.91
2025-06-25,144.94,145.94,144.58,145.25
2025-06-26,145.19,145.26,143.73,144.37
2025-06-27,144.37,144.94,144.17,144.65
2025-06-30,144.43,144.76,143.76,144.01
2025-07-01,144.01,144.06,142.66,143.43
2025-07-02,143.41,144.24,143.31,143.67
2025-07-03,143.67,145.23,143.42,144.92
2025-07-04,144.91,144.96,144.15,144.55
2025-07-07,144.37,146.24,144.2,146.02
2025-07-08,146.01,146.97,145.82,146.55
2025-07-09,146.55,147.18,146.23,146.31
2025-07-10,146.31,146.78,145.73,146.25
2025-07-11,146.25,147.51,146.11,147.4
2025-07-14,147.18,147.78,146.84,147.7
2025-07-15,147.71,149.01,147.53,148.86
2025-07-16,148.89,149.18,146.9,147.86
2025-07-17,147.83,149.09,147.71,148.6
2025-07-18,148.6,148.88,148.16,148.81
2025-07-21,148.07,148.66,147.06,147.38
2025-07-22,147.31,147.94,146.3,146.63
2025-07-23,146.6,147.21,146.09,146.49
2025-07-24,146.46,147.02,145.82,147.0
2025-07-25,147.0,147.94,146.8,147.66
2025-07-28,147.74,148.57,147.49,148.53
2025-07-29,148.51,148.8,148.13,148.44
2025-07-30,148.49,149.53,147.78,149.5
2025-07-31,149.5,150.83,148.57,150.74
2025-08-01,150.74,150.91,147.28,147.36
2025-08-04,147.26,148.08,146.85,147.08
2025-08-05,147.09,147.83,146.6,147.6
2025-08-06,147.57,147.88,146.95,147.35
2025-08-07,147.35,147.71,146.66,147.1
2025-08-08,147.11,147.9,146.71,147.72
2025-08-11,147.44,148.25,147.33,148.14
2025-08-12,148.13,148.52,147.56,147.83
2025-08-13,147.73,148.16,147.07,147.38
2025-08-14,147.36,147.95,146.19,147.76
2025-08-15,147.74,147.86,146.73,147.18
2025-08-18,147.05,147.98,147.02,147.86
2025-08-19,147.66,148.11,147.43,147.66
2025-08-20,147.57,147.81,146.85,147.32
2025-08-21,147.23,148.4,147.23,148.37
2025-08-22,148.25,148.77,146.54,146.93
2025-08-25,146.8,147.93,146.69,147.77
2025-08-26,147.77,147.9,146.97,147.4
2025-08-27,147.4,148.18,147.27,147.39
2025-08-28,147.4,147.49,146.64,146.92
2025-08-29,146.92,147.4,146.73,147.02
2025-09-01,147.06,147.38,146.76,147.17
2025-09-02,147.17,148.94,147.02,148.33
2025-09-03,148.33,149.13,147.86,148.08
2025-09-04,148.08,148.77,147.77,148.48
